first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,number_of_reviews,id,reviewer_id,listing_id
01-11-2011,02-01-2016,95,10,10,10,10,9,10,4.07,207,38917982,28943674,7202016
19-08-2013,29-12-2015,96,10,10,10,10,10,10,1.48,43,39087409,32440555,7202016
30-07-2014,03-09-2015,97,10,10,10,10,10,10,1.15,20,39820030,37722850,7202016
,,,,,,,,,,0,40813543,33671805,7202016
10-07-2012,24-10-2015,92,9,9,10,10,9,9,0.89,38,41986501,34959538,7202016
11-06-2015,28-09-2015,95,10,10,10,10,10,10,2.45,17,43979139,1154501,7202016
27-01-2014,07-12-2015,99,10,10,10,10,10,10,2.46,58,45265631,37853266,7202016
03-01-2013,01-01-2016,97,10,10,10,10,9,10,4.73,173,46749120,24445447,7202016
22-06-2015,17-08-2015,97,10,9,10,9,10,10,1.22,8,47783346,249583,7202016
27-04-2014,20-12-2015,97,10,10,10,10,10,9,1.55,32,48388999,38110731,7202016
21-07-2011,25-11-2015,97,10,10,10,10,10,10,3.33,181,49441269,39852826,7202016
06-05-2015,16-12-2015,97,10,10,9,10,10,9,0.98,8,50490194,384855,7202016
09-11-2014,02-10-2015,98,10,10,10,10,10,10,0.92,13,53862449,21607838,7202016
16-12-2015,02-01-2016,100,10,10,9,9,10,10,3,3,54562283,17052263,7202016
15-06-2015,15-11-2015,98,9,10,10,10,10,10,2.65,18,55212826,4774006,7202016
25-11-2015,25-11-2015,80,8,10,8,8,8,8,0.73,1,58268184,41297839,7202016
30-06-2014,02-01-2016,95,10,9,10,10,10,9,4.55,84,20798623,9313038,3946674
16-03-2015,06-11-2015,98,10,10,10,10,10,10,4.58,45,21224862,8385649,3946674
,,,,,,,,,,0,22877803,9403201,3946674
07-07-2015,10-08-2015,85,10,9,9,9,8,8,0.82,5,22938377,2920596,3946674
03-01-2016,03-01-2016,100,10,10,10,10,10,10,1,1,23416253,23579299,3946674
27-09-2014,18-10-2015,84,9,9,9,9,10,8,0.71,11,23463915,20706964,3946674
01-12-2015,01-12-2015,100,10,10,10,10,10,10,0.86,1,23709531,23941301,3946674
,,,,,,,,,,0,23961948,7008965,3946674
20-07-2015,20-07-2015,100,10,10,10,10,10,10,0.18,1,24118813,24025530,3946674
04-07-2015,02-09-2015,100,10,10,9,10,10,10,1.3,8,24302648,23834617,3946674
,,,,,,,,,,0,25275185,11109842,3946674
06-07-2014,02-01-2016,95,10,10,10,10,9,9,4.38,80,26338015,9997395,3946674
24-10-2015,02-01-2016,100,10,10,10,10,10,10,2.47,6,27110794,4920230,3946674
04-01-2015,25-07-2015,85,8,9,7,10,9,9,0.33,4,27182900,3002880,3946674
01-05-2014,11-10-2015,96,10,10,10,10,10,10,1.86,38,28291295,28621214,3946674
15-06-2013,21-12-2015,92,9,9,10,9,10,9,2.18,68,28433477,21176280,3946674
06-07-2015,03-12-2015,88,9,9,9,9,10,9,1.31,8,28534479,26018276,3946674
07-08-2015,12-11-2015,75,8,9,8,9,9,8,0.99,5,28843895,29870942,3946674
08-10-2013,07-12-2015,97,10,10,10,10,10,9,2.27,62,29873691,30347816,3946674
27-08-2015,29-11-2015,95,10,10,10,10,10,10,4.35,19,30773722,3474876,3946674
04-08-2015,03-09-2015,96,10,10,10,10,10,9,0.97,5,31599041,15811536,3946674
17-05-2015,08-12-2015,97,9,8,10,10,10,10,0.9,7,31748548,32286824,3946674
25-10-2015,18-12-2015,100,10,10,10,10,10,10,0.83,2,31899502,16342997,3946674
22-07-2015,19-08-2015,98,10,10,10,10,10,10,1.98,11,33445091,11015358,3946674
09-10-2014,01-01-2016,90,10,8,10,10,10,9,4.7,71,34194163,4006836,3946674
02-06-2014,29-10-2015,91,9,10,9,9,10,10,0.46,9,35123521,32870799,3946674
29-07-2013,31-07-2015,98,10,10,10,10,10,9,1.38,41,35398735,33943549,3946674
28-07-2015,31-12-2015,98,10,10,10,10,10,10,3.35,18,35579217,1928003,3946674
22-08-2015,20-09-2015,100,10,10,9,9,10,10,1.99,9,37201302,26170953,3946674
18-04-2015,02-01-2016,92,9,9,9,9,9,9,2.29,20,37338415,15967204,3946674
,,,,,,,,,,0,38295437,30544873,3946674
12-10-2015,31-12-2015,100,10,10,10,10,10,10,1.06,3,39176070,34858362,3946674
29-06-2015,29-06-2015,100,8,10,10,10,10,10,0.16,1,57111968,37096823,3946674
05-05-2013,29-12-2015,95,10,10,9,10,10,9,0.8,26,44472406,34123551,7833113
20-12-2015,21-12-2015,100,10,10,10,10,10,10,2,2,45156782,13316300,7833113
,,,,,,,,,,0,45704944,7354543,7833113
18-08-2015,03-09-2015,100,10,10,10,10,10,10,0.64,3,46177947,16840700,7833113
,,,,,,,,,,0,46752160,23038979,7833113
,,,,,,,,,,0,47506180,32505575,7833113
16-05-2015,01-01-2016,94,10,10,10,10,10,9,5.64,44,48404791,6181790,7833113
07-09-2015,29-11-2015,100,10,10,10,10,10,10,2.5,10,49817108,2618477,7833113
23-06-2014,28-12-2015,98,10,10,10,10,10,10,4.12,77,50456359,9151574,7833113
,,,,,,,,,,0,51903847,42635470,7833113
20-11-2015,12-12-2015,100,10,10,10,10,10,10,1.3,2,52494233,17958206,7833113
08-09-2015,08-09-2015,100,10,10,10,10,10,10,0.25,1,52843867,34796223,7833113
21-04-2014,29-12-2015,97,10,10,10,10,9,10,5.24,109,54857057,25044118,7833113
29-05-2015,02-01-2016,92,9,9,10,10,10,9,7.06,52,55361093,2830204,7833113
05-11-2012,01-01-2016,97,10,10,10,10,9,10,4.96,191,55916043,7560156,7833113
,,,,,,,,,,0,57119975,28662643,7833113
10-08-2015,29-11-2015,91,9,9,10,10,10,9,1.82,9,47014896,1964916,8308353
28-08-2014,14-12-2015,98,10,10,10,10,10,10,3.94,65,47427199,20997974,8308353
18-09-2015,16-12-2015,96,10,10,10,10,10,9,1.38,5,47602193,5790065,8308353
10-08-2015,01-12-2015,96,10,10,10,10,10,9,1.01,5,48810422,28531622,8308353
,,,,,,,,,,0,48957529,28592890,8308353
,,,,,,,,,,0,50103944,23360768,8308353
12-08-2015,20-12-2015,93,9,10,10,10,10,10,3.29,16,55606734,44239286,8308353
25-05-2015,08-10-2015,77,8,8,9,9,9,8,3.07,23,23284049,12849861,4277026
13-06-2013,21-09-2015,97,9,9,10,10,10,9,1.44,45,25402633,25892167,4277026
26-03-2014,20-12-2015,94,10,9,10,10,10,10,3.46,75,28765134,29994885,4277026
02-06-2014,01-01-2016,94,9,10,10,10,10,10,4.43,86,33527609,17272550,4277026
15-10-2012,18-12-2015,97,10,10,10,10,10,10,3.85,151,33821397,5350854,4277026
21-09-2014,29-05-2015,92,10,10,10,10,10,8,0.38,6,48696344,38521340,4277026
30-08-2015,13-12-2015,94,10,10,10,10,10,10,3.75,16,49320462,14952850,4277026
,,,,,,,,,,0,42962443,40442846,7735100
,,,,,,,,,,0,43837578,40603512,7735100
14-04-2014,02-01-2016,95,9,10,10,10,10,9,7.84,165,44469361,19864124,7735100
20-02-2014,01-12-2015,100,10,10,10,10,10,10,2.11,48,45354751,6093501,7735100
,,,,,,,,,,0,57419048,13019539,7735100
17-05-2015,01-06-2015,100,10,10,10,10,10,10,0.26,2,28471216,3285646,4701141
,,,,,,,,,,0,53902378,26208231,4701141
07-07-2014,14-10-2015,93,10,10,10,10,10,9,1.48,27,49148626,37444544,7934963
,,,,,,,,,,0,49512452,26750734,7934963
,,,,,,,,,,0,50105565,4107277,7934963
09-07-2013,17-07-2015,98,10,10,10,10,9,9,0.3,9,50367910,9556062,7934963
,,,,,,,,,,0,50608166,14164556,7934963
,,,,,,,,,,0,50908355,19805575,7934963
27-10-2014,02-01-2016,95,10,10,10,10,9,9,6.07,88,51083272,37442102,7934963
18-07-2015,26-12-2015,98,9,10,10,10,10,9,1.75,10,51330898,44806559,7934963
05-07-2015,13-11-2015,96,10,10,10,10,9,10,0.82,5,52284544,46879903,7934963
21-09-2014,07-08-2015,98,10,10,10,10,10,9,0.64,10,52811074,31351853,7934963
04-07-2010,26-12-2015,97,10,9,10,10,10,10,3.64,244,53288901,10387535,7934963
29-03-2015,29-03-2015,100,10,10,10,10,8,10,0.11,1,53428793,938231,7934963
,,,,,,,,,,0,53726144,8873291,7934963
15-03-2015,03-01-2016,98,10,10,10,10,10,10,4.05,40,53796206,48452038,7934963
30-09-2015,04-10-2015,80,9,10,10,10,10,9,0.62,2,53867186,25477273,7934963
18-06-2015,01-01-2016,97,10,10,10,10,10,10,6.87,46,54004552,45549036,7934963
05-07-2015,30-12-2015,96,10,10,10,10,10,9,3.75,23,54217135,9640217,7934963
05-09-2013,21-12-2015,98,10,10,10,10,10,10,1.55,44,57109210,3929249,7934963
11-08-2014,31-12-2015,97,10,10,10,10,10,9,0.82,14,15402820,7682798,2934389
23-09-2014,29-10-2015,100,10,10,10,10,10,10,0.77,12,17998079,10849699,2934389
02-02-2015,02-02-2015,100,8,10,10,10,10,8,0.09,1,18744067,4582507,2934389
29-05-2015,20-12-2015,99,10,10,10,10,10,10,3.39,25,21170252,3394000,2934389
14-06-2014,02-11-2015,95,10,9,10,10,10,9,1.84,35,37470618,18898726,2934389
28-11-2015,02-01-2016,100,10,10,10,10,10,10,3.95,5,39048252,36426521,2934389
30-08-2014,07-11-2015,95,10,10,10,10,10,10,1.89,31,39624554,4526575,2934389
05-08-2015,11-10-2015,97,8,10,10,10,10,9,1.37,7,40891244,2631519,2934389
14-08-2015,20-12-2015,95,10,9,10,10,10,10,0.83,4,42005770,7684479,2934389
03-09-2015,19-12-2015,98,10,10,10,10,10,10,3.87,16,44937231,124401,2934389
01-01-2016,01-01-2016,100,10,10,10,10,10,10,1,1,45850926,39893003,2934389
26-10-2015,21-12-2015,100,10,10,10,10,10,10,3.38,8,36727603,18779691,6888107
05-12-2015,05-12-2015,100,10,10,10,10,10,10,1,1,39225364,37224080,6888107
19-05-2015,10-10-2015,92,9,8,9,10,10,10,0.65,5,39967788,7560288,6888107
,,,,,,,,,,0,41419145,37619912,6888107
14-10-2013,29-11-2015,94,10,9,10,10,10,9,0.96,26,41987934,37705950,6888107
12-10-2014,02-01-2016,94,9,9,10,10,10,9,7.53,113,42881097,37098127,6888107
,,,,,,,,,,0,43670340,10001611,6888107
02-01-2015,21-09-2015,96,10,10,9,10,10,9,1.22,15,44847335,379337,6888107
25-05-2015,27-12-2015,91,9,9,10,10,9,9,5.87,44,48105640,29245019,6888107
