airport_code,airport_name,city,timezone,longitude,latitude
YKS,Yakutsk Airport,Yakutsk,Asia/Yakutsk,129.77099609375,62.0932998657226562
MJZ,Mirny Airport,Mirnyj,Asia/Yakutsk,114.03900146484375,62.534698486328125
KHV,Khabarovsk-Novy Airport,Khabarovsk,Asia/Vladivostok,135.18800354004,48.5279998779300001
PKC,Yelizovo Airport,Petropavlovsk-Kamchatsky,Asia/Kamchatka,158.453994750976562,53.1679000854492188
UUS,Yuzhno-Sakhalinsk Airport,Yuzhno-Sakhalinsk,Asia/Sakhalin,142.718002319335938,46.8886985778808594
VVO,Vladivostok International Airport,Vladivostok,Asia/Vladivostok,132.147994995117188,43.3989982604980469
LED,Pulkovo Airport,Saint Petersburg,Europe/Moscow,30.2625007629394531,59.8003005981445312
KGD,Khrabrovo Airport,Kaliningrad,Europe/Kaliningrad,20.5925998687744141,54.8899993896484375
KEJ,Kemerovo Airport,Kemerovo,Asia/Novokuznetsk,86.1072006225585938,55.2700996398925781
CEK,Chelyabinsk Balandino Airport,Chelyabinsk,Asia/Yekaterinburg,61.503300000000003,55.3058010000000024
MQF,Magnitogorsk International Airport,Magnitogorsk,Asia/Yekaterinburg,58.7556991577148438,53.3931007385253906
PEE,Bolshoye Savino Airport,Perm,Asia/Yekaterinburg,56.021198272705,57.9145011901860016
SGC,Surgut Airport,Surgut,Asia/Yekaterinburg,73.4018020629882812,61.3437004089355469
BZK,Bryansk Airport,Bryansk,Europe/Moscow,34.1763992309999978,53.2141990661999955
MRV,Mineralnyye Vody Airport,Mineralnye Vody,Europe/Moscow,43.0819015502929688,44.2251014709472656
STW,Stavropol Shpakovskoye Airport,Stavropol,Europe/Moscow,42.1128005981445312,45.1091995239257812
ASF,Astrakhan Airport,Astrakhan,Europe/Samara,48.0063018799000005,46.2832984924000002
NJC,Nizhnevartovsk Airport,Nizhnevartovsk,Asia/Yekaterinburg,76.4835968017578125,60.9492988586425781
SVX,Koltsovo Airport,Yekaterinburg,Asia/Yekaterinburg,60.8027000427250002,56.7430992126460012
SVO,Sheremetyevo International Airport,Moscow,Europe/Moscow,37.4146000000000001,55.9725990000000024
VOZ,Voronezh International Airport,Voronezh,Europe/Moscow,39.2295989990234375,51.8142013549804688
VKO,Vnukovo International Airport,Syktyvkar,Europe/Moscow,37.2615013122999983,55.5914993286000012
SCW,Syktyvkar Airport,Samara,Europe/Moscow,50.8451004028320312,61.6469993591308594
KUF,Kurumoch International Airport,Tyumen,Europe/Samara,50.1642990112299998,53.5049018859860013
