flight_id,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival
1185,PG0134,2017-12-08 22:07:39,2017-12-09 02:07:39,DME,BTK,Scheduled,319,2017-12-08 22:20:39,2017-12-09 02:20:39
3979,PG0052,2017-06-25 09:47:27,2017-06-25 12:47:27,VKO,HMA,Scheduled,CR2,2017-06-25 09:33:27,2017-06-25 12:33:27
4739,PG0561,2017-07-11 21:33:55,2017-07-12 00:33:55,VKO,AER,Scheduled,763,2017-07-11 21:52:55,2017-07-12 00:52:55
5502,PG0529,2017-06-30 09:38:11,2017-06-30 15:38:11,SVO,UFA,Scheduled,763,2017-06-30 09:30:11,2017-06-30 15:30:11
6938,PG0461,2017-07-26 15:20:25,2017-07-26 19:20:25,SVO,ULV,Scheduled,SU9,2017-07-26 15:14:25,2017-07-26 19:14:25
7784,PG0667,2017-09-12 13:44:29,2017-09-12 19:44:29,SVO,KRO,Scheduled,CR2,2017-09-12 13:57:29,2017-09-12 19:57:29
9478,PG0360,2017-04-07 00:29:55,2017-04-07 04:29:55,LED,REN,Scheduled,CR2,2017-04-07 00:29:55,2017-04-07 04:29:55
11085,PG0569,2017-08-08 04:15:06,2017-08-08 08:15:06,SVX,SCW,Scheduled,733,2017-08-08 04:18:06,2017-08-08 08:18:06
11847,PG0498,2017-08-18 02:52:23,2017-08-18 03:52:23,KZN,IKT,Scheduled,319,2017-08-18 03:02:23,2017-08-18 04:02:23
12012,PG0621,2017-04-01 16:57:14,2017-04-01 17:57:14,KZN,MQF,Scheduled,CR2,2017-04-01 17:07:14,2017-04-01 18:07:14
13113,PG0612,2017-05-11 16:31:06,2017-05-11 19:31:06,ROV,KZN,Scheduled,CN1,2017-05-11 16:56:06,2017-05-11 19:56:06
14806,PG0676,2017-07-31 23:39:08,2017-08-01 04:39:08,PEE,CEK,Scheduled,CR2,2017-07-31 23:16:08,2017-08-01 04:16:08
16837,PG0010,2017-07-23 02:00:44,2017-07-23 04:00:44,JOK,VKO,Scheduled,CN1,2017-07-23 01:58:44,2017-07-23 03:58:44
17173,PG0059,2017-10-03 03:15:14,2017-10-03 09:15:14,SCW,NBC,Cancelled,CN1,2017-10-03 03:27:14,2017-10-03 09:27:14
19807,PG0035,2017-08-07 02:21:19,2017-08-07 07:21:19,MJZ,CNN,Scheduled,CN1,2017-08-07 02:41:19,2017-08-07 07:41:19
23609,PG0648,2017-10-02 21:57:21,2017-10-03 03:57:21,UUA,SVO,Scheduled,CR2,2017-10-02 21:53:21,2017-10-03 03:53:21
23695,PG0388,2017-11-26 00:41:21,2017-11-26 06:41:21,UUA,REN,Scheduled,CR2,2017-11-26 00:59:21,2017-11-26 06:59:21
23780,PG0098,2017-02-23 15:54:47,2017-02-23 21:54:47,SWT,CEK,Scheduled,CN1,2017-02-23 15:34:47,2017-02-23 21:34:47
23945,PG0076,2017-05-28 02:42:59,2017-05-28 06:42:59,EYK,DME,Scheduled,CR2,2017-05-28 02:52:59,2017-05-28 06:52:59
24705,PG0632,2017-04-09 20:43:41,2017-04-09 22:43:41,TJM,PES,Scheduled,CR2,2017-04-09 20:38:41,2017-04-09 22:38:41
25382,PG0556,2017-11-09 06:58:11,2017-11-09 12:58:11,IKT,MJZ,Scheduled,CR2,2017-11-09 06:38:11,2017-11-09 12:38:11
26057,PG0467,2017-02-24 13:13:21,2017-02-24 15:13:21,ULY,RTW,Scheduled,CN1,2017-02-24 13:13:21,2017-02-24 15:13:21
27580,PG0483,2017-09-29 11:13:03,2017-09-29 12:13:03,KEJ,DME,Scheduled,SU9,2017-09-29 11:33:03,2017-09-29 12:33:03
29272,PG0334,2017-05-21 17:00:51,2017-05-21 21:00:51,KGD,ESL,Scheduled,CR2,2017-05-21 16:46:51,2017-05-21 20:46:51
29440,PG0065,2017-11-28 02:52:19,2017-11-28 03:52:19,UUD,VKO,Scheduled,319,2017-11-28 02:37:19,2017-11-28 03:37:19
32658,PG0674,2017-05-30 15:41:55,2017-05-30 21:41:55,KRO,KJA,Scheduled,CR2,2017-05-30 15:29:55,2017-05-30 21:29:55
1,PG0405,2017-01-24 23:30:16,2017-01-25 02:30:16,DME,LED,Arrived,321,2017-01-24 23:02:16,2017-01-25 02:02:16
2,PG0404,2017-05-13 02:54:57,2017-05-13 07:54:57,DME,LED,Arrived,321,2017-05-13 03:08:57,2017-05-13 08:08:57
3,PG0405,2017-01-30 07:50:03,2017-01-30 13:50:03,DME,LED,Arrived,321,2017-01-30 08:17:03,2017-01-30 14:17:03
4,PG0402,2017-02-23 21:43:18,2017-02-24 01:43:18,DME,LED,Scheduled,321,2017-02-23 21:51:18,2017-02-24 01:51:18
5,PG0405,2017-04-02 20:20:18,2017-04-03 02:20:18,DME,LED,On Time,321,2017-04-02 20:17:18,2017-04-03 02:17:18
6,PG0404,2017-09-16 22:16:34,2017-09-16 23:16:34,DME,LED,Scheduled,321,2017-09-16 22:21:34,2017-09-16 23:21:34
7,PG0403,2017-03-11 17:12:27,2017-03-11 19:12:27,DME,LED,Delayed,321,2017-03-11 16:48:27,2017-03-11 18:48:27
8,PG0402,2017-12-12 10:25:44,2017-12-12 16:25:44,DME,LED,On Time,321,2017-12-12 10:53:44,2017-12-12 16:53:44
9,PG0405,2017-04-30 21:54:14,2017-05-01 02:54:14,DME,LED,Scheduled,321,2017-04-30 21:39:14,2017-05-01 02:39:14
10,PG0402,2017-01-20 16:16:29,2017-01-20 19:16:29,DME,LED,Scheduled,321,2017-01-20 16:39:29,2017-01-20 19:39:29
11,PG0403,2017-11-03 19:55:32,2017-11-03 22:55:32,DME,LED,Scheduled,321,2017-11-03 19:38:32,2017-11-03 22:38:32
12,PG0404,2017-07-15 20:47:08,2017-07-15 22:47:08,DME,LED,Scheduled,321,2017-07-15 20:47:08,2017-07-15 22:47:08
13,PG0405,2017-11-25 00:55:29,2017-11-25 05:55:29,DME,LED,Scheduled,321,2017-11-25 00:50:29,2017-11-25 05:50:29
14,PG0402,2017-06-26 04:53:50,2017-06-26 07:53:50,DME,LED,Arrived,321,2017-06-26 04:53:50,2017-06-26 07:53:50
15,PG0402,2017-04-28 21:30:33,2017-04-29 02:30:33,DME,LED,Arrived,321,2017-04-28 21:03:33,2017-04-29 02:03:33
16,PG0403,2017-07-15 23:06:06,2017-07-16 05:06:06,DME,LED,Arrived,321,2017-07-15 22:53:06,2017-07-16 04:53:06
17,PG0404,2017-03-11 07:28:23,2017-03-11 11:28:23,DME,LED,Arrived,321,2017-03-11 07:31:23,2017-03-11 11:31:23
18,PG0405,2017-07-05 06:18:36,2017-07-05 08:18:36,DME,LED,Arrived,321,2017-07-05 06:21:36,2017-07-05 08:21:36
19,PG0403,2017-05-05 15:19:30,2017-05-05 21:19:30,DME,LED,Arrived,321,2017-05-05 15:25:30,2017-05-05 21:25:30
20,PG0403,2017-01-05 06:31:42,2017-01-05 08:31:42,DME,LED,Arrived,321,2017-01-05 06:27:42,2017-01-05 08:27:42
21,PG0405,2017-02-28 11:21:36,2017-02-28 16:21:36,DME,LED,Arrived,321,2017-02-28 11:26:36,2017-02-28 16:26:36
22,PG0404,2017-08-04 05:12:15,2017-08-04 08:12:15,DME,LED,Arrived,321,2017-08-04 04:58:15,2017-08-04 07:58:15
23,PG0403,2017-08-24 05:59:08,2017-08-24 11:59:08,DME,LED,Arrived,321,2017-08-24 05:37:08,2017-08-24 11:37:08
24,PG0402,2017-03-01 20:56:38,2017-03-02 02:56:38,DME,LED,Arrived,321,2017-03-01 20:46:38,2017-03-02 02:46:38
25,PG0404,2017-08-28 04:30:49,2017-08-28 09:30:49,DME,LED,Arrived,321,2017-08-28 04:35:49,2017-08-28 09:35:49
26,PG0405,2017-10-14 00:41:07,2017-10-14 06:41:07,DME,LED,Arrived,321,2017-10-14 00:30:07,2017-10-14 06:30:07
27,PG0404,2017-10-25 14:53:28,2017-10-25 20:53:28,DME,LED,Arrived,321,2017-10-25 15:19:28,2017-10-25 21:19:28
28,PG0405,2017-01-10 02:43:24,2017-01-10 05:43:24,DME,LED,Scheduled,321,2017-01-10 02:41:24,2017-01-10 05:41:24
29,PG0403,2017-06-09 20:19:32,2017-06-10 00:19:32,DME,LED,Arrived,321,2017-06-09 20:13:32,2017-06-10 00:13:32
30,PG0402,2017-03-01 01:19:34,2017-03-01 05:19:34,DME,LED,Arrived,321,2017-03-01 01:47:34,2017-03-01 05:47:34
31,PG0404,2017-04-21 03:13:23,2017-04-21 09:13:23,DME,LED,Scheduled,321,2017-04-21 02:46:23,2017-04-21 08:46:23
32,PG0403,2017-09-29 03:19:15,2017-09-29 08:19:15,DME,LED,Scheduled,321,2017-09-29 03:18:15,2017-09-29 08:18:15
33,PG0402,2017-12-28 08:26:53,2017-12-28 11:26:53,DME,LED,Scheduled,321,2017-12-28 08:19:53,2017-12-28 11:19:53
34,PG0402,2017-08-06 08:43:39,2017-08-06 13:43:39,DME,LED,Arrived,321,2017-08-06 08:15:39,2017-08-06 13:15:39
35,PG0403,2017-02-28 10:14:04,2017-02-28 15:14:04,DME,LED,Arrived,321,2017-02-28 10:07:04,2017-02-28 15:07:04
36,PG0404,2017-08-11 14:00:55,2017-08-11 17:00:55,DME,LED,Arrived,321,2017-08-11 14:26:55,2017-08-11 17:26:55
37,PG0405,2017-11-17 06:37:22,2017-11-17 09:37:22,DME,LED,Arrived,321,2017-11-17 06:37:22,2017-11-17 09:37:22
38,PG0405,2017-01-12 18:55:43,2017-01-13 00:55:43,DME,LED,Arrived,321,2017-01-12 18:56:43,2017-01-13 00:56:43
39,PG0405,2017-07-09 16:22:05,2017-07-09 21:22:05,DME,LED,Scheduled,321,2017-07-09 16:42:05,2017-07-09 21:42:05
40,PG0402,2017-03-28 20:28:29,2017-03-29 00:28:29,DME,LED,Scheduled,321,2017-03-28 20:45:29,2017-03-29 00:45:29
41,PG0403,2017-04-22 03:48:07,2017-04-22 04:48:07,DME,LED,Scheduled,321,2017-04-22 04:01:07,2017-04-22 05:01:07
42,PG0404,2017-03-08 15:38:46,2017-03-08 21:38:46,DME,LED,Scheduled,321,2017-03-08 15:08:46,2017-03-08 21:08:46
43,PG0405,2017-10-29 13:54:14,2017-10-29 16:54:14,DME,LED,Scheduled,321,2017-10-29 13:56:14,2017-10-29 16:56:14
44,PG0404,2017-07-09 11:58:20,2017-07-09 14:58:20,DME,LED,Scheduled,321,2017-07-09 11:36:20,2017-07-09 14:36:20
45,PG0403,2017-01-13 11:39:01,2017-01-13 17:39:01,DME,LED,Scheduled,321,2017-01-13 11:17:01,2017-01-13 17:17:01
46,PG0405,2017-09-03 20:27:50,2017-09-04 02:27:50,DME,LED,Arrived,321,2017-09-03 20:40:50,2017-09-04 02:40:50
47,PG0404,2017-02-23 05:54:33,2017-02-23 08:54:33,DME,LED,On Time,321,2017-02-23 05:44:33,2017-02-23 08:44:33
48,PG0403,2017-05-05 09:09:05,2017-05-05 11:09:05,DME,LED,Arrived,321,2017-05-05 09:15:05,2017-05-05 11:15:05
49,PG0402,2017-04-19 00:13:25,2017-04-19 06:13:25,DME,LED,Arrived,321,2017-04-19 00:00:25,2017-04-19 06:00:25
50,PG0402,2017-04-01 18:39:14,2017-04-01 21:39:14,DME,LED,Arrived,321,2017-04-01 18:38:14,2017-04-01 21:38:14
51,PG0403,2017-12-22 15:57:50,2017-12-22 19:57:50,DME,LED,Arrived,321,2017-12-22 16:20:50,2017-12-22 20:20:50
52,PG0404,2017-10-02 22:53:56,2017-10-03 00:53:56,DME,LED,Arrived,321,2017-10-02 23:07:56,2017-10-03 01:07:56
53,PG0405,2017-07-13 10:44:48,2017-07-13 11:44:48,DME,LED,Arrived,321,2017-07-13 10:38:48,2017-07-13 11:38:48
54,PG0405,2017-06-24 14:17:16,2017-06-24 17:17:16,DME,LED,Arrived,321,2017-06-24 13:52:16,2017-06-24 16:52:16
55,PG0404,2017-08-02 08:56:18,2017-08-02 13:56:18,DME,LED,Arrived,321,2017-08-02 09:16:18,2017-08-02 14:16:18
56,PG0403,2017-01-01 08:38:04,2017-01-01 13:38:04,DME,LED,Arrived,321,2017-01-01 09:02:04,2017-01-01 14:02:04
57,PG0402,2017-10-09 17:53:06,2017-10-09 22:53:06,DME,LED,Arrived,321,2017-10-09 18:05:06,2017-10-09 23:05:06
